,DATE,MARKET,CONVERSIONS
0,2020-01-01T00:00:00.000,AU,71
1,2020-01-02T00:00:00.000,AU,77
2,2020-01-03T00:00:00.000,AU,19
3,2020-01-04T00:00:00.000,AU,8
4,2020-01-05T00:00:00.000,AU,83
5,2020-01-06T00:00:00.000,AU,54
6,2020-01-07T00:00:00.000,AU,79
7,2020-01-08T00:00:00.000,AU,12
8,2020-01-09T00:00:00.000,AU,1
9,2020-01-10T00:00:00.000,AU,52
10,2020-01-11T00:00:00.000,AU,59
11,2020-01-12T00:00:00.000,AU,55
12,2020-01-13T00:00:00.000,AU,87
13,2020-01-14T00:00:00.000,AU,63
14,2020-01-15T00:00:00.000,AU,46
15,2020-01-16T00:00:00.000,AU,16
16,2020-01-17T00:00:00.000,AU,44
17,2020-01-18T00:00:00.000,AU,78
18,2020-01-19T00:00:00.000,AU,99
19,2020-01-20T00:00:00.000,AU,1
20,2020-01-21T00:00:00.000,AU,16
21,2020-01-22T00:00:00.000,AU,83
22,2020-01-23T00:00:00.000,AU,61
23,2020-01-24T00:00:00.000,AU,98
24,2020-01-25T00:00:00.000,AU,42
25,2020-01-26T00:00:00.000,AU,91
26,2020-01-27T00:00:00.000,AU,36
27,2020-01-28T00:00:00.000,AU,42
28,2020-01-29T00:00:00.000,AU,30
29,2020-01-30T00:00:00.000,AU,67
30,2020-01-31T00:00:00.000,AU,54
31,2020-02-01T00:00:00.000,AU,8
32,2020-02-02T00:00:00.000,AU,45
33,2020-02-03T00:00:00.000,AU,97
34,2020-02-04T00:00:00.000,AU,18
35,2020-02-05T00:00:00.000,AU,15
36,2020-02-06T00:00:00.000,AU,6
37,2020-02-07T00:00:00.000,AU,3
38,2020-02-08T00:00:00.000,AU,9
39,2020-02-09T00:00:00.000,AU,91
40,2020-02-10T00:00:00.000,AU,3
41,2020-02-11T00:00:00.000,AU,57
42,2020-02-12T00:00:00.000,AU,48
43,2020-02-13T00:00:00.000,AU,20
44,2020-02-14T00:00:00.000,AU,84
45,2020-02-15T00:00:00.000,AU,90
46,2020-02-16T00:00:00.000,AU,77
47,2020-02-17T00:00:00.000,AU,10
48,2020-02-18T00:00:00.000,AU,68
49,2020-02-19T00:00:00.000,AU,56
50,2020-02-20T00:00:00.000,AU,95
51,2020-02-21T00:00:00.000,AU,83
52,2020-02-22T00:00:00.000,AU,69
53,2020-02-23T00:00:00.000,AU,75
54,2020-02-24T00:00:00.000,AU,50
55,2020-02-25T00:00:00.000,AU,8
56,2020-02-26T00:00:00.000,AU,39
57,2020-02-27T00:00:00.000,AU,93
58,2020-02-28T00:00:00.000,AU,48
59,2020-02-29T00:00:00.000,AU,42
60,2020-03-01T00:00:00.000,AU,15
61,2020-03-02T00:00:00.000,AU,45
62,2020-03-03T00:00:00.000,AU,95
63,2020-03-04T00:00:00.000,AU,20
64,2020-03-05T00:00:00.000,AU,4
65,2020-03-06T00:00:00.000,AU,90
66,2020-03-07T00:00:00.000,AU,85
67,2020-03-08T00:00:00.000,AU,14
68,2020-03-09T00:00:00.000,AU,66
69,2020-03-10T00:00:00.000,AU,40
70,2020-03-11T00:00:00.000,AU,13
71,2020-03-12T00:00:00.000,AU,36
72,2020-03-13T00:00:00.000,AU,29
73,2020-03-14T00:00:00.000,AU,55
74,2020-03-15T00:00:00.000,AU,62
75,2020-03-16T00:00:00.000,AU,92
76,2020-03-17T00:00:00.000,AU,65
77,2020-03-18T00:00:00.000,AU,75
78,2020-03-19T00:00:00.000,AU,40
79,2020-03-20T00:00:00.000,AU,84
80,2020-03-21T00:00:00.000,AU,72
81,2020-03-22T00:00:00.000,AU,20
82,2020-03-23T00:00:00.000,AU,76
83,2020-03-24T00:00:00.000,AU,16
84,2020-03-25T00:00:00.000,AU,35
85,2020-03-26T00:00:00.000,AU,48
86,2020-03-27T00:00:00.000,AU,50
87,2020-03-28T00:00:00.000,AU,76
88,2020-03-29T00:00:00.000,AU,30
89,2020-03-30T00:00:00.000,AU,96
90,2020-03-31T00:00:00.000,AU,69
91,2020-04-01T00:00:00.000,AU,36
92,2020-04-02T00:00:00.000,AU,37
93,2020-04-03T00:00:00.000,AU,26
94,2020-04-04T00:00:00.000,AU,63
95,2020-04-05T00:00:00.000,AU,66
96,2020-04-06T00:00:00.000,AU,5
97,2020-04-07T00:00:00.000,AU,69
98,2020-04-08T00:00:00.000,AU,90
99,2020-04-09T00:00:00.000,AU,47
100,2020-04-10T00:00:00.000,AU,85
101,2020-04-11T00:00:00.000,AU,8
102,2020-04-12T00:00:00.000,AU,74
103,2020-04-13T00:00:00.000,AU,29
104,2020-04-14T00:00:00.000,AU,8
105,2020-04-15T00:00:00.000,AU,35
106,2020-04-16T00:00:00.000,AU,36
107,2020-04-17T00:00:00.000,AU,14
